id,date_achieved,stage,difficulty,stage_time,system,video_id,comments
187,3/29/20,Depot,Agent,0:00:29,NTSC-J,VfuBt5G8eQU,
188,3/29/20,Silo,Agent,0:01:40,NTSC-J,4yStkn7M2ho,
189,3/29/20,Runway,Secret Agent,0:00:25,NTSC-J,qsLSGeNHxXE,
190,3/30/20,Facility,Agent,0:01:11,NTSC-J,WJi5Aofy_Sg,
191,3/30/20,Facility,Agent,0:01:07,NTSC-J,C_LkiDimDxI,
192,3/30/20,Facility,Agent,0:01:06,NTSC-J,gI_qnmw5LHg,
193,3/30/20,Facility,Agent,0:01:04,NTSC-J,Ghn66dECKcs,
194,3/31/20,Archives,Agent,0:00:24,NTSC-J,y_l5pAYXIk4,
195,3/31/20,Facility,Secret Agent,0:01:26,NTSC-J,mtoXvbg2L24,Trev is so f*cking stupid sometimes…
196,3/31/20,Facility,00 Agent,0:01:26,NTSC-J,OjJhzdJi97s,"[New Cheat Available] didn't come up because after I unlocked 007 mode, I copied this file and used button codes to unlock the cheats on the copied file. I realized after using the combo for Invincibility that I did it on my original file. Luckily, that was the first cheat I input before I realized what file I was on.

Also, I used the alternate exit. wtf"
197,3/31/20,Bunker 1,Secret Agent,0:01:06,NTSC-J,jb_g-Eovy1Y,
198,4/2/20,Dam,Secret Agent,0:01:33,NTSC-J,n8iglKqmfrc,
199,4/2/20,Archives,00 Agent,0:01:20,NTSC-J,LoasoBJpCWU,Don't know what cheat this is…
200,4/2/20,Archives,Secret Agent,0:01:20,NTSC-J,QaB1NR1mZK8,
201,4/3/20,Dam,00 Agent,0:02:48,NTSC-J,vukvZz9h3l0,
202,4/3/20,Bunker 2,Secret Agent,0:05:49,NTSC-J,XIiTPkyw-ic,
203,4/3/20,Bunker 2,00 Agent,0:07:15,NTSC-J,hhBtEYX9xL4,
204,4/3/20,Silo,Secret Agent,0:03:02,NTSC-J,35ppk7bLzMY,
205,4/3/20,Silo,Secret Agent,0:02:41,NTSC-J,yjTRxuxc0DI,
206,4/8/20,Frigate,Secret Agent,0:02:43,NTSC-J,2i-trz9t2M0,
207,4/8/20,Control,Agent,0:05:01,NTSC-J,ywLB2bVte4Y,First completed run with the throwing mines through walls strategy
208,4/9/20,Control,Secret Agent,0:06:51,NTSC-J,DD1chdy796U,"I found out where Boris runs to

Also, A took a very long time to complete! I paused to see if it had completed, and saw that it completed during my pause smh."
209,4/11/20,Aztec,Agent,0:02:42,NTSC-J,J9fjw-XzhGk,"My Agent time is now under 30 minutes, from 31:20 to 29:17!"
210,4/11/20,Caverns,00 Agent,0:08:55,NTSC-J,wDIjA2S3fqY,
211,4/11/20,Caverns,Secret Agent,0:05:58,NTSC-J,1zzLZUpynzc,
212,4/11/20,Jungle,Agent,0:02:28,NTSC-J,3Z5TwXGWDQU,
213,4/11/20,Surface 1,Secret Agent,0:02:17,NTSC-J,lrrmer9sufk,
214,4/11/20,Surface 1,00 Agent,0:02:22,NTSC-J,L-8IsSiJ-6k,
215,4/11/20,Control,00 Agent,0:09:02,NTSC-J,GyD6RlyExRw,"Sub-3 hour total time! From 3:01:11 to 2:57:57!

Also, sub-1:30 00A time, from 1:31:09 to 1:27:55!"
216,4/12/20,Depot,Secret Agent,0:01:34,NTSC-J,vMdsX3aBG4g,Looked down too far
217,4/12/20,Depot,Secret Agent,0:01:29,NTSC-J,eA1jUat7RBQ,
218,4/12/20,Depot,Secret Agent,0:01:15,NTSC-J,rOEtSX5DGtQ,
219,4/12/20,Depot,Secret Agent,0:01:10,NTSC-J,FfYnmzodCW0,
220,4/12/20,Surface 2,Secret Agent,0:01:28,NTSC-J,61v_bBo1EkY,
221,4/12/20,Bunker 1,Secret Agent,0:01:05,NTSC-J,-7BQEMl6kC4,
222,4/13/20,Surface 1,Secret Agent,0:02:15,NTSC-J,T88YulBCces,
223,4/13/20,Surface 1,Secret Agent,0:02:11,NTSC-J,WwhM9Zjj9wc,"And with that, my SA time is under an hour, from 1:00:00 to 59:56!"
224,4/13/20,Train,00 Agent,0:05:18,NTSC-J,,"No video

I was just practicing the level, and didn't record the [New Cheat Available] fml

That being said, this was the last cheat I needed to unlock. I now have all the cheats!"
225,4/18/20,Bunker 2,Agent,0:00:38,NTSC-J,,No video
226,4/18/20,Statue,Agent,0:02:36,NTSC-J,UNrOrAU5IQg,
227,4/18/20,Train,Agent,0:01:55,NTSC-J,,No video
228,4/18/20,Jungle,Agent,0:02:07,NTSC-J,ok0o2vK0xPg,
229,4/18/20,Jungle,Agent,0:02:03,NTSC-J,FaieFpLfoyg,
230,4/18/20,Cradle,Agent,0:00:53,NTSC-J,9AqXpulmEWI,
231,4/18/20,Cradle,Agent,0:00:52,NTSC-J,_kpsCiN60uo,
232,4/19/20,Cradle,Agent,0:00:50,NTSC,UhynUMRVdCQ,
233,4/19/20,Cradle,Agent,0:00:49,NTSC-J,r64CGreZ_wY,
234,4/19/20,Cradle,Agent,0:00:47,NTSC-J,JcDk4PiUZRU,
235,4/26/20,Surface 2,Agent,0:00:57,NTSC-J,TxAkpg2Pwh4,
236,4/26/20,Surface 2,Agent,0:00:56,NTSC-J,A-9x3gyhjHg,
237,4/26/20,Surface 1,Agent,0:01:12,NTSC-J,u_YLWjbLJuo,
238,4/26/20,Cradle,Secret Agent,0:01:08,NTSC-J,p0UmflM8co0,
239,4/26/20,Cradle,Secret Agent,0:01:05,NTSC,uhdoew1F-sM,Dirtiest hole you'll ever see
240,4/26/20,Cradle,Secret Agent,0:00:56,NTSC-J,yWE-z37M7TQ,
241,4/26/20,Cradle,00 Agent,0:01:07,NTSC-J,-XiljUFPxyk,
242,4/26/20,Cradle,00 Agent,0:00:54,NTSC-J,GyR4hxTkUH0,
